Trường,STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
Đại học Khoa học Sức khỏe,1,Dược học,7720201,B00; A00,21.5,Thang điểm 30
Đại học Khoa học Sức khỏe,2,Điều dưỡng,7720301,B00; A02,18.0,Thang điểm 30
Đại học Khoa học Sức khỏe,3,Răng - Hàm - Mặt,7720501,B00; A02,25.0,Thang điểm 30
Đại học Khoa học Sức khỏe,4,Y học cổ truyền,7720115,B00; A02,20.1,Thang điểm 30
Đại học Khoa học Sức khỏe,5,Y khoa,7720101,B00; A02,25.6,Thang điểm 30
Đại học Bách Khoa,1,Khoa học Máy tính,106,A00; A01; X06; X07; X08,85.41,
Đại học Bách Khoa,2,Kỹ thuật Máy tính,107,A00; A01; X06; X07; X08,82.91,
Đại học Bách Khoa,3,Điện - Điện tử - Viễn Thông - Tự động hoá - Thiết kế vi mạch,108,A00; A01; X06; X07; X08,80.77,
Đại học Bách Khoa,4,Kỹ Thuật Cơ khí,109,A00; A01; X06; X07,75.43,
Đại học Bách Khoa,5,Kỹ Thuật Cơ Điện tử,110,A00; A01; X06; X07; X08,81.82,
Đại học Bách Khoa,6,Dệt - May,112,A00; A01; X06; X07; X08,60.75,
Đại học Bách Khoa,7,Hoá - Thực phẩm - Sinh học,114,B00; A00; D07; X10; X12; X11; B08,75.43,
Đại học Bách Khoa,8,Xây dựng và Quản lý Dự án Xây dựng,115,A00; A01; X06; X07; X08,55.05,
Đại học Bách Khoa,9,Kiến Trúc,117,A01; X08; X07; D01; X03; X04,67.42,
Đại học Bách Khoa,10,Dầu khí - Địa chất,120,A00; A01; X07; X08,60.0,
Đại học Bách Khoa,11,Quản lý Công nghiệp,123,A00; A01; X06; X07; X08; D01; D07; X26; X27; X28,75.98,
Đại học Bách Khoa,12,Tài nguyên và Môi trường,125,A00; A01; X07; X08; B00; D07; X11; X12,60.93,
Đại học Bách Khoa,13,Logistics và Hệ thống Công nghiệp,128,A00; A01; X06; X60; X61,80.52,
Đại học Bách Khoa,14,Kỹ thuật Vật liệu,129,A00; A01; X07; X08; B00; D07; X11; X12,71.1,
Đại học Bách Khoa,15,Vật lý Kỹ thuật,137,A02; A00; A01; X06; X07; X08,76.61,
Đại học Bách Khoa,16,Cơ Kỹ thuật,138,A00; A01; X06; X07,75.98,
Đại học Bách Khoa,17,Kỹ thuật Nhiệt,140,A00; A01; X06; X07; X08,73.5,
Đại học Bách Khoa,18,Bảo dưỡng Công nghiệp,141,A00; A01; X06; X07,65.59,
Đại học Bách Khoa,19,Kỹ thuật Ô tô,142,A00; A01; X06; X07,76.34,
Đại học Bách Khoa,20,(Song ngành) Tàu thủy - Hàng không,145,A00; A01; X06; X07; X08,76.63,
Đại học Bách Khoa,21,Khoa học Dữ liệu,146,A00; A01; X06; X07,83.85,
Đại học Bách Khoa,22,Địa Kỹ thuật Xây dựng,147,A00; A01; X07,55.06,
Đại học Bách Khoa,23,Kinh tế Xây dựng,148,A00; A01; X06; X07,55.72,
Đại học Bách Khoa,24,Quản trị Kinh doanh (Ngành mới),153,A00; A01; X06; X07; X08; D01; D07; X26; X27,71.24,
Đại học Bách Khoa,50,Cơ Kỹ thuật,268,A00; A01; X06; X07,69.4,
Đại học Bách Khoa,51,"Khoa học Máy tính | Úc, New Zealand, Mỹ",306,A00; A01; X06; X07,72.9,
Đại học Bách Khoa,52,"Kỹ thuật Máy tính | Úc, New Zealand",307,A00; A01; X06; X07,67.68,
Đại học Bách Khoa,53,"Kỹ thuật Điện - Điện tử | Úc, Hàn Quốc",308,A00; A01; X06; X07,65.52,
Đại học Bách Khoa,54,"Kỹ thuật Cơ khí | Mỹ, Úc",309,A00; A01; X06; X07,74.3,
Đại học Bách Khoa,55,"Kỹ thuật Cơ Điện tử | Mỹ, Úc",310,A00; A01; X06; X07,78.44,
Đại học Bách Khoa,56,Kỹ thuật Hóa học | Úc,314,A00; B00; B08; D07; X10; X11,63.3,
Đại học Bách Khoa,57,Kỹ thuật Xây dựng | Úc,315,A00; A01; X06; X07,56.2,
Đại học Bách Khoa,58,Công nghệ Thực phẩm | New Zealand,319,A00; B00; B08; D07; X10; X11,56.2,
Đại học Bách Khoa,59,Quản lý Công nghiệp | Úc,323,A00; A01; D01; D07; X06; X07; X26; X27,61.08,
Đại học Bách Khoa,60,"Kỹ thuật Môi trường, Quản lý Tài nguyên & Môi trường | Úc",325,A00; A01; B00; D07; X07; X11,55.46,
Đại học Bách Khoa,61,Kỹ thuật Ô tô | Úc,342,A00; A01; X06; X07,69.49,
Đại học Bách Khoa,62,Kỹ thuật Hàng không | Úc,345,A00; A01; X06; X07,78.79,
Đại học Bách Khoa,63,Trí tuệ Nhân tạo | ĐH Công nghệ Sydney (Úc) cấp bằng,406,A00; A01; X06; X07; X08,65.5,
Đại học Bách Khoa,64,Công nghệ Thông tin | ĐH Công nghệ Sydney (Úc) cấp bằng,416,A00; A01; X06; X07; X08,57.38,
Đại học Khoa học Tự nhiên,1,Công nghệ giáo dục,7140103,A01; X26,22.88,
Đại học Khoa học Tự nhiên,2,Công nghệ giáo dục,7140103,D01; D07,22.5,
Đại học Khoa học Tự nhiên,3,Công nghệ giáo dục,7140103,B03; B08; X14,23.13,
Đại học Khoa học Tự nhiên,4,Công nghệ giáo dục,7140103,A00; C01; C02; X02; X06; X10,24.25,
Đại học Khoa học Tự nhiên,5,Sinh học,7420101,A02,22.1,
Đại học Khoa học Tự nhiên,6,Sinh học,7420101,B00; B03; B08; X15; X16,20.96,
Đại học Khoa học Tự nhiên,7,Sinh học,7420101,X28,20.57,
Đại học Khoa học Tự nhiên,8,Sinh học (CTTCTA),7420101_DKD,A02,21.5,
Đại học Khoa học Tự nhiên,9,Sinh học (CTTCTA),7420101_DKD,B00; B03; B08; X15; X16,20.25,
Đại học Khoa học Tự nhiên,10,Sinh học (CTTCTA),7420101_DKD,X28,20.06,
Đại học Khoa học Tự nhiên,11,Công nghệ Sinh học,7420201,A02,24.72,
Đại học Khoa học Tự nhiên,12,Công nghệ Sinh học,7420201,B00; B03; B08; X15; X16,23.72,
Đại học Khoa học Tự nhiên,13,Công nghệ Sinh học,7420201,X28,22.86,
Đại học Khoa học Tự nhiên,14,Công nghệ Sinh học (CT TCTA),7420201_DKD,A02,24.3,
Đại học Khoa học Tự nhiên,15,Công nghệ Sinh học (CT TCTA),7420201_DKD,B00; B03; B08; X15; X16,23.15,
Đại học Khoa học Tự nhiên,16,Công nghệ Sinh học (CT TCTA),7420201_DKD,X28,22.55,
Đại học Khoa học Tự nhiên,17,Vật lý học (CT TCTA),7440102_DKD,A00; A02; A03; A04; X05; X06; X07; X08,24.4,
Đại học Khoa học Tự nhiên,18,Vật lý học (CT TCTA),7440102_DKD,A01,23.1,
Đại học Khoa học Tự nhiên,19,Vật lý học (CT TCTA),7440102_DKD,C01,24.4,
Đại học Khoa học Tự nhiên,20,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",7440102_NN,A00; A02; A03; A04; X05; X06; X07; X08,26.75,
Đại học Khoa học Tự nhiên,21,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",7440102_NN,A01,25.5,
Đại học Khoa học Tự nhiên,22,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",7440102_NN,C01,26.25,
Đại học Khoa học Tự nhiên,23,Hóa học,7440112,A00; A02; X07; X08; X12,26.18,
Đại học Khoa học Tự nhiên,24,Hóa học,7440112,B00,25.37,
